i,d,q,season,y_pre,y_post,n_pre,n_post,R
1,2024-05-18,m,春,83.7810440406989,104.47745276257825,3,6,20.69640872187935
1,2024-10-01,m,秋,94.5510615050707,97.10183197323822,5,7,2.5507704681675136
1,2024-12-02,l,冬,75.22033892450789,91.9199510804918,5,7,16.699612155983914
1,2025-01-21,m,冬,71.25753338066465,95.13741103264472,6,6,23.879877651980067
1,2025-03-14,m,春,82.04315457320462,112.7016124266145,5,5,30.658457853409885
1,2025-06-29,m,夏,98.83034519656601,106.66491313196416,7,6,7.834567935398141
1,2025-09-15,m,秋,90.80230218217145,108.88700765743067,6,6,18.084705475259227
1,2025-11-14,l,秋,79.39863260993032,79.15983257556346,5,7,-0.2388000343668608
2,2024-06-04,m,夏,64.42373158291133,86.15283952738851,5,6,21.729107944477178
2,2024-11-03,m,秋,74.45959267042817,89.64272374627602,6,7,15.183131075847854
2,2025-01-01,m,冬,63.992987660715265,73.29681998603277,3,7,9.303832325317508
2,2025-02-20,m,冬,54.93005790369889,73.04430214480891,4,6,18.114244241110022
2,2025-04-07,m,春,61.573511499761786,75.86584101479242,3,7,14.292329515030637
2,2025-05-28,m,春,66.20431467619167,81.04231912870725,6,5,14.838004452515577
2,2025-07-21,m,夏,74.51587061050611,92.19124584891716,4,6,17.67537523841105
2,2025-10-06,l,秋,71.3764464414086,83.41351257900108,4,7,12.037066137592475
2,2025-12-10,l,冬,49.83115396055292,63.774087927101824,6,7,13.942933966548907
3,2024-09-30,m,秋,98.86629820770194,101.47568290340968,7,3,2.609384695707732
3,2024-11-30,m,秋,71.74271095199849,90.14758847677864,7,7,18.404877524780147
3,2025-01-17,m,冬,69.21315577420559,90.96223298907789,4,5,21.7490772148723
3,2025-03-05,m,春,71.89479497825127,87.6589302600147,7,7,15.76413528176343
3,2025-05-06,m,春,76.73375890397354,98.66581073597682,7,5,21.932051832003282
3,2025-07-02,l,夏,92.52777144584958,102.3034222442235,6,6,9.775650798373917
3,2025-09-15,m,秋,91.37118940576795,118.45537163461472,7,7,27.08418222884677
3,2025-11-17,l,秋,84.7145176102545,99.68353580318326,7,6,14.969018192928758
4,2024-05-28,m,春,39.53842933234638,84.2502772844905,6,5,44.71184795214411
4,2024-09-21,m,秋,86.88903447279237,105.22942859518459,7,6,18.340394122392212
4,2024-11-20,m,秋,73.9994564584406,86.97229958706502,7,5,12.972843128624419
4,2025-01-18,m,冬,59.821826071336005,97.17380360463285,6,6,37.351977533296846
4,2025-02-20,m,冬,88.45449229037054,110.40956277535119,7,5,21.955070484980652
4,2025-04-10,m,春,98.8431478783205,104.3775527463447,7,7,5.534404868024211
4,2025-06-04,m,夏,99.07526577736245,107.59982683634621,7,7,8.524561058983764
4,2025-08-06,m,夏,102.45417991406751,124.81416920444114,7,7,22.359989290373633
4,2025-10-10,m,秋,102.08639383591999,103.65620875582785,3,7,1.5698149199078557
4,2025-12-09,m,冬,77.92482441671905,97.92925947339651,7,7,20.004435056677465
5,2024-05-19,m,春,101.45408437296435,115.47427718541542,3,7,14.020192812451072
5,2024-09-21,l,秋,108.08349681628309,111.06042823052907,7,7,2.976931414245982
5,2024-11-24,m,秋,85.2354732469835,113.96313973056385,7,7,28.72766648358035
5,2025-01-21,m,冬,89.33408910870749,117.00212253275663,5,7,27.668033424049142
5,2025-02-25,m,冬,102.52691793437357,109.20609669214612,6,4,6.679178757772547
5,2025-04-15,m,春,97.61479513404454,103.1023895564097,6,7,5.487594422365163
5,2025-06-14,m,夏,87.80935118760571,104.69384921743483,6,7,16.884498029829118
5,2025-08-19,m,夏,96.7800259755171,100.63291222383658,7,7,3.8528862483194786
5,2025-11-06,m,秋,60.369433293450406,71.6151662540886,7,7,11.2457329606382
5,2026-01-08,m,冬,39.98607418909139,64.01992034224904,6,6,24.033846153157647
6,2024-06-06,m,夏,36.425898816515975,61.611211099459524,5,7,25.18531228294355
6,2024-11-06,l,秋,43.460438710526056,60.788887579816134,6,6,17.328448869290078
6,2024-12-31,m,冬,31.308071081866085,69.92945365201236,7,6,38.62138257014627
6,2025-02-19,l,冬,49.390524323483135,71.68158470407612,6,7,22.29106038059298
6,2025-04-11,m,春,57.751709780896796,81.6914201233094,7,7,23.939710342412603
6,2025-06-04,m,夏,71.69277205412054,96.49039536304335,7,5,24.79762330892281
6,2025-08-23,m,夏,87.71089933911409,122.65580903098733,7,6,34.944909691873235
6,2025-11-02,m,秋,88.85582401141299,103.60300971548534,6,7,14.74718570407235
6,2026-01-03,m,冬,74.19212402861436,94.18271388902501,7,7,19.99058986041065
7,2024-05-18,m,春,83.7828791814044,93.393210326936,3,7,9.610331145531603
7,2024-09-24,m,秋,89.78414145705517,120.14205531793228,7,7,30.357913860877105
7,2024-11-22,m,秋,88.67730290163267,102.93866699230078,7,7,14.26136409066811
7,2025-01-20,m,冬,77.36237677747025,77.40986235446218,5,5,0.047485576991931566
7,2025-02-24,m,冬,68.03136355104706,94.8697759409908,7,7,26.83841238994374
7,2025-04-16,l,春,84.24892829526308,102.19618397190541,7,5,17.947255676642328
7,2025-06-16,m,夏,98.05123090703162,102.98738918877964,7,7,4.936158281748021
7,2025-09-01,m,秋,94.28971946474852,98.43834855230672,7,7,4.148629087558206
7,2025-10-18,m,秋,80.19191682107918,99.3335272329385,6,6,19.141610411859318
7,2025-12-22,m,冬,66.3161675532917,67.43454734664132,6,7,1.118379793349618
8,2024-06-02,m,夏,114.91768794755001,130.0522239687484,6,5,15.134536021198386
8,2024-10-31,m,秋,88.44529878594727,112.90252742412092,4,7,24.457228638173646
8,2025-01-03,m,冬,87.65898320781048,87.3156461477073,6,4,-0.3433370601031811
8,2025-02-13,m,冬,70.84871003006697,97.93217971005375,5,6,27.083469679986777
8,2025-03-27,m,春,83.50427380406641,94.82213717278641,7,6,11.317863368719998
8,2025-05-13,m,春,85.63714475878461,107.16190386420756,5,7,21.524759105422945
8,2025-07-06,m,夏,100.18103178944904,104.53152668508608,6,6,4.350494895637041
8,2025-09-08,m,秋,92.87870234320178,93.49256166827745,7,6,0.6138593250756657
