var,beta_OLS,SE_OLS,t_OLS,beta_WLS,SE_WLS,t_WLS
const,91.6917,0.8676,105.6859,91.1999,0.7622,119.6512
I(i=2),-19.3935,1.0894,-17.8016,-18.8696,0.8389,-22.4928
I(i=3),9.1667,1.0789,8.4959,9.2928,1.3794,6.7369
I(i=4),-25.846,1.0728,-24.093,-25.5338,1.4886,-17.1526
I(i=5),19.0559,1.0877,17.5198,19.7037,0.8101,24.3228
I(i=6),-57.8054,1.0822,-53.4131,-57.534,0.9377,-61.3572
I(i=7),3.4744,1.0867,3.1973,3.8151,1.2978,2.9396
I(i=8),24.2398,1.0675,22.707,24.5234,0.7332,33.448
I(i=9),-4.2073,1.0877,-3.868,-3.7448,0.7473,-5.0114
I(i=10),32.9581,1.0994,29.9773,33.5495,1.0915,30.7359
t_i1,-0.0337,0.0024,-14.3008,-0.0328,0.0024,-13.635
t_i2,-0.0096,0.0021,-4.5256,-0.0098,0.0018,-5.4704
t_i3,-0.0415,0.0021,-19.315,-0.0406,0.003,-13.361
t_i4,0.0523,0.0019,27.6467,0.052,0.003,17.1776
t_i5,-0.0797,0.003,-26.591,-0.0801,0.0029,-27.5546
t_i6,0.0776,0.0025,30.9167,0.0781,0.0027,28.4416
t_i7,-0.0435,0.0024,-18.1502,-0.043,0.0034,-12.7993
t_i8,-0.0767,0.0019,-40.331,-0.0766,0.0014,-55.8445
t_i9,-0.0434,0.0024,-18.4431,-0.0434,0.002,-21.7338
t_i10,-0.1243,0.0021,-59.175,-0.1246,0.0023,-54.5643
sin1,11.303,0.1606,70.3961,11.3047,0.1546,73.1064
cos1,-6.7992,0.1767,-38.483,-6.7977,0.1876,-36.2424
H_m7,1.9106,0.4072,4.6916,1.8877,0.4164,4.5331
H_l7,2.2523,0.9116,2.4706,2.2404,0.8168,2.7428
A_m_f,-0.2183,0.0054,-40.324,-0.2181,0.0055,-39.4829
A_l_f,-0.0301,0.0029,-10.4406,-0.0301,0.0029,-10.4181
has_m,13.3625,0.558,23.9473,13.5241,0.7786,17.3689
has_l,14.6784,0.5043,29.1057,14.5436,0.476,30.5556
