i,T_M_cur,T_L_cur,L_cur_years,retired_cur,N_M_cur,N_L_cur,cost_cur,EAC_cur,T_M_opt,T_L_opt,L_opt_years,retired_opt,N_M_opt,N_L_opt,cost_opt,EAC_opt,save_abs,save_pct
1,62.0,347,4.46,True,26.3,4.7,435.1,97.61,80,450.0,4.28,True,19.6,3.5,400.4,93.5,4.11,4.2
2,56.5,57.5,12.0,False,77.6,76.2,1447.4,120.62,100,540.0,11.47,True,41.9,7.8,518.9,45.22,75.4,62.5
3,55.5,138,4.25,True,28.0,11.2,518.8,122.11,90,540.0,3.78,True,15.3,2.6,376.6,99.75,22.36,18.3
4,57.0,inf,12.0,False,76.9,0.0,530.7,44.22,120,inf,12.0,False,36.5,0.0,409.6,34.13,10.09,22.8
5,60.0,262.5,1.87,True,11.4,2.6,365.3,195.63,70,720.0,1.73,True,9.0,0.9,337.6,195.12,0.51,0.3
6,71.0,105,12.0,False,61.7,41.7,986.1,82.18,120,inf,12.0,False,36.5,0.0,409.6,34.13,48.04,58.5
7,62.0,298,3.48,True,20.5,4.3,412.6,118.66,90,540.0,3.19,True,12.9,2.2,364.7,114.35,4.31,3.6
8,54.5,inf,1.8,True,12.1,0.0,336.3,186.38,60,450.0,2.1,True,12.8,1.7,358.7,171.05,15.33,8.2
9,62.5,321,2.98,True,17.4,3.4,393.1,131.71,80,450.0,2.77,True,12.7,2.2,365.0,131.61,0.11,0.1
10,74.0,262.5,0.93,True,4.6,1.3,329.3,353.78,40,inf,1.02,True,9.4,0.0,328.0,320.38,33.41,9.4
