i,T_M_cur,T_L_cur,L_cur,retired_cur,EAC_cur,T_M_opt,T_L_opt,L_opt,retired_opt,EAC_opt,save_abs,save_pct
1,62.0,347.0,20.0,False,45.3,120,720.0,20.0,False,30.219,15.08,33.3
2,56.5,57.5,12.055,True,120.51,80,450.0,8.465,True,58.875,61.64,51.1
3,55.5,138.0,3.261,True,143.51,80,240.0,2.965,True,133.137,10.37,7.2
4,57.0,inf,20.0,False,34.22,120,inf,20.0,False,24.131,10.09,29.5
5,60.0,262.5,6.352,True,82.19,90,540.0,5.615,True,73.717,8.47,10.3
6,71.0,105.0,20.0,False,72.18,120,inf,20.0,False,24.131,48.05,66.6
7,62.0,298.0,10.215,True,61.75,120,450.0,8.468,True,54.298,7.45,12.1
8,54.5,inf,1.892,True,178.68,60,inf,1.867,True,178.93,-0.25,-0.1
9,62.5,321.0,2.683,True,143.0,60,300.0,2.872,True,137.329,5.67,4.0
10,74.0,262.5,1.153,True,291.78,40,180.0,1.303,True,281.943,9.84,3.4
