i,T_M,T_L,L_years_20h,retired_20h,N_M,N_L,cost_total,EAC
1,62.0,347,4.457,True,26.26,4.69,435.07,97.61
2,56.5,57.5,12.0,False,77.58,76.23,1447.44,120.62
3,55.5,138,4.249,True,27.96,11.25,518.85,122.11
4,57.0,inf,12.0,False,76.89,0.0,530.68,44.22
5,60.0,262.5,1.867,True,11.37,2.6,365.28,195.63
6,71.0,105,12.0,False,61.73,41.74,986.11,82.18
7,62.0,298,3.477,True,20.48,4.26,412.59,118.66
8,54.5,inf,1.804,True,12.09,0.0,336.28,186.38
9,62.5,321,2.984,True,17.44,3.4,393.07,131.71
10,74.0,262.5,0.931,True,4.59,1.3,329.33,353.78
