i,T_M,T_L,T_L_label,L_days,L_years,retired,N_M,N_L,cost_total,EAC
1,30,120,120,1849,5.062,True,61.63,15.41,669.8,132.312
1,30,180,180,1821,4.986,True,60.7,10.12,603.5,121.048
1,30,240,240,1793,4.909,True,59.77,7.47,568.95,115.9
1,30,300,300,1768,4.841,True,58.93,5.89,547.52,113.112
1,30,360,360,1744,4.775,True,58.13,4.84,532.53,111.53
1,30,450,450,1694,4.638,True,56.47,3.76,514.57,110.949
1,30,540,540,1602,4.386,True,53.4,2.97,495.8,113.041
1,30,720,720,1731,4.739,True,57.7,2.4,501.95,105.914
1,30,99999,inf,1058,2.897,True,35.27,0.0,405.8,140.093
1,40,120,120,1814,4.966,True,45.35,15.12,617.45,124.324
1,40,180,180,1786,4.89,True,44.65,9.92,553.02,113.096
1,40,240,240,1768,4.841,True,44.2,7.37,521.0,107.633
1,40,300,300,1714,4.693,True,42.85,5.71,497.11,105.933
1,40,360,360,1702,4.66,True,42.55,4.73,484.38,103.949
1,40,450,450,1675,4.586,True,41.88,3.72,470.29,102.552
1,40,540,540,1548,4.238,True,38.7,2.87,450.5,106.295
1,40,720,720,1464,4.008,True,36.6,2.03,434.2,108.328
1,40,99999,inf,1038,2.842,True,25.95,0.0,377.85,132.957
1,50,120,120,1780,4.873,True,35.6,14.83,584.8,119.999
1,50,180,180,1747,4.783,True,34.94,9.71,521.29,108.987
1,50,240,240,1739,4.761,True,34.78,7.25,491.29,103.188
1,50,300,300,1684,4.611,True,33.68,5.61,468.4,101.593
1,50,360,360,1670,4.572,True,33.4,4.64,455.87,99.704
1,50,450,450,1658,4.539,True,33.16,3.68,443.69,97.744
1,50,540,540,1530,4.189,True,30.6,2.83,425.8,101.649
1,50,720,720,1363,3.732,True,27.26,1.89,404.5,108.395
1,50,99999,inf,1022,2.798,True,20.44,0.0,361.32,129.131
1,60,120,120,1748,4.786,True,29.13,14.57,562.2,117.473
1,60,180,180,1716,4.698,True,28.6,9.53,500.2,106.467
1,60,240,240,1698,4.649,True,28.3,7.08,469.8,101.057
1,60,300,300,1655,4.531,True,27.58,5.52,448.95,99.081
1,60,360,360,1636,4.479,True,27.27,4.54,436.33,97.415
1,60,450,450,1632,4.468,True,27.2,3.63,425.12,95.144
1,60,540,540,1513,4.142,True,25.22,2.8,409.27,98.802
1,60,720,720,1343,3.677,True,22.38,1.87,389.53,105.94
1,60,99999,inf,1002,2.743,True,16.7,0.0,350.1,127.619
1,70,120,120,1713,4.69,True,24.47,14.27,544.71,116.145
1,70,180,180,1676,4.589,True,23.94,9.31,483.56,105.382
1,70,240,240,1650,4.517,True,23.57,6.88,453.21,100.325
1,70,300,300,1631,4.465,True,23.3,5.44,435.14,97.446
1,70,360,360,1597,4.372,True,22.81,4.44,421.68,96.442
1,70,450,450,1586,4.342,True,22.66,3.52,410.26,94.482
1,70,540,540,1497,4.099,True,21.39,2.77,397.42,96.967
1,70,720,720,1322,3.619,True,18.89,1.84,378.69,104.627
1,70,99999,inf,985,2.697,True,14.07,0.0,342.21,126.897
1,80,120,120,1671,4.575,True,20.89,13.93,529.76,115.796
1,80,180,180,1655,4.531,True,20.69,9.19,472.4,104.255
1,80,240,240,1597,4.372,True,19.96,6.65,439.74,100.572
1,80,300,300,1591,4.356,True,19.89,5.3,423.3,97.179
1,80,360,360,1574,4.309,True,19.68,4.37,411.49,95.488
1,80,450,450,1564,4.282,True,19.55,3.48,400.36,93.498
1,80,540,540,1484,4.063,True,18.55,2.75,388.63,95.651
1,80,720,720,1310,3.587,True,16.38,1.82,370.96,103.429
1,80,99999,inf,961,2.631,True,12.01,0.0,336.04,127.719
1,90,120,120,1648,4.512,True,18.31,13.73,519.73,115.19
1,90,180,180,1615,4.422,True,17.94,8.97,461.5,104.373
1,90,240,240,1581,4.329,True,17.57,6.59,431.75,99.745
1,90,300,300,1571,4.301,True,17.46,5.24,415.21,96.534
1,90,360,360,1540,4.216,True,17.11,4.28,402.67,95.503
1,90,450,450,1503,4.115,True,16.7,3.34,390.18,94.819
1,90,540,540,1461,4.0,True,16.23,2.71,381.17,95.292
1,90,720,720,1290,3.532,True,14.33,1.79,364.5,103.204
1,90,99999,inf,950,2.601,True,10.56,0.0,331.67,127.517
1,100,120,120,1595,4.367,True,15.95,13.29,507.35,116.182
1,100,180,180,1583,4.334,True,15.83,8.79,453.02,104.527
1,100,240,240,1568,4.293,True,15.68,6.53,425.44,99.102
1,100,300,300,1556,4.26,True,15.56,5.19,408.92,95.988
1,100,360,360,1492,4.085,True,14.92,4.14,394.49,96.574
1,100,450,450,1473,4.033,True,14.73,3.27,383.47,95.087
1,100,540,540,1448,3.964,True,14.48,2.68,375.62,94.748
1,100,720,720,1275,3.491,True,12.75,1.77,359.5,102.986
1,100,99999,inf,934,2.557,True,9.34,0.0,328.02,128.275
1,120,120,120,1544,4.227,True,12.87,12.87,493.0,116.625
1,120,180,180,1518,4.156,True,12.65,8.43,439.15,105.665
1,120,240,240,1506,4.123,True,12.55,6.28,412.95,100.153
1,120,300,300,1474,4.036,True,12.28,4.91,395.81,98.08
1,120,360,360,1435,3.929,True,11.96,3.99,383.71,97.665
1,120,450,450,1380,3.778,True,11.5,3.07,371.3,98.273
1,120,540,540,1407,3.852,True,11.72,2.61,366.44,95.126
1,120,720,720,1239,3.392,True,10.32,1.72,351.62,103.657
1,120,99999,inf,898,2.459,True,7.48,0.0,322.45,131.152
2,30,120,120,99999,12.0,False,146.1,36.52,1176.6,98.05
2,30,180,180,99999,12.0,False,146.1,24.35,1030.5,85.875
2,30,240,240,99999,12.0,False,146.1,18.26,957.45,79.787
2,30,300,300,99999,12.0,False,146.1,14.61,913.62,76.135
2,30,360,360,99999,12.0,False,146.1,12.18,884.4,73.7
2,30,450,450,99999,12.0,False,146.1,9.74,855.18,71.265
2,30,540,540,99999,12.0,False,146.1,8.12,835.7,69.642
2,30,720,720,4247,11.628,True,141.57,5.9,795.48,68.413
2,30,99999,inf,1519,4.159,True,50.63,0.0,451.9,108.661
2,40,120,120,99999,12.0,False,109.58,36.52,1067.03,88.919
2,40,180,180,99999,12.0,False,109.58,24.35,920.93,76.744
2,40,240,240,99999,12.0,False,109.58,18.26,847.88,70.656
2,40,300,300,99999,12.0,False,109.58,14.61,804.05,67.004
2,40,360,360,99999,12.0,False,109.58,12.18,774.83,64.569
2,40,450,450,99999,12.0,False,109.58,9.74,745.61,62.134
2,40,540,540,99999,12.0,False,109.58,8.12,726.12,60.51
2,40,720,720,4216,11.543,True,105.4,5.86,686.47,59.472
2,40,99999,inf,1488,4.074,True,37.2,0.0,411.6,101.033
2,50,120,120,99999,12.0,False,87.66,36.52,1001.28,83.44
2,50,180,180,99999,12.0,False,87.66,24.35,855.18,71.265
2,50,240,240,99999,12.0,False,87.66,18.26,782.13,65.177
2,50,300,300,99999,12.0,False,87.66,14.61,738.3,61.525
2,50,360,360,99999,12.0,False,87.66,12.18,709.08,59.09
2,50,450,450,99999,12.0,False,87.66,9.74,679.86,56.655
2,50,540,540,99999,12.0,False,87.66,8.12,660.38,55.032
2,50,720,720,4190,11.472,True,83.8,5.82,621.23,54.154
2,50,99999,inf,1457,3.989,True,29.14,0.0,387.42,97.121
2,60,120,120,99999,12.0,False,73.05,36.52,957.45,79.787
2,60,180,180,99999,12.0,False,73.05,24.35,811.35,67.612
2,60,240,240,99999,12.0,False,73.05,18.26,738.3,61.525
2,60,300,300,99999,12.0,False,73.05,14.61,694.47,57.873
