i,T_M,T_L,T_L_label,L_days,L_years,retired,N_M,N_L,cost_total,EAC
1,80,450,450,1564,4.282,True,19.55,3.48,400.36,93.498
2,100,540,540,4191,11.474,True,41.91,7.76,518.86,45.219
3,90,540,540,1379,3.775,True,15.32,2.55,376.61,99.751
4,120,99999,inf,99999,12.0,False,36.52,0.0,409.57,34.131
5,70,720,720,632,1.73,True,9.03,0.88,337.62,195.119
6,120,99999,inf,99999,12.0,False,36.52,0.0,409.57,34.131
7,90,540,540,1165,3.19,True,12.94,2.16,364.72,114.347
8,60,450,450,766,2.097,True,12.77,1.7,358.73,171.051
9,80,450,450,1013,2.773,True,12.66,2.25,365.0,131.606
10,40,99999,inf,374,1.024,True,9.35,0.0,328.05,320.375
