level_buy,level_m,c_buy,c_m,EAC_total
-0.3,-0.3,210.0,2.0999999999999996,889.79
-0.3,-0.2,210.0,2.4000000000000004,903.11
-0.3,-0.1,210.0,2.7,916.32
-0.3,0.0,210.0,3.0,928.72
-0.3,0.1,210.0,3.3000000000000003,940.57
-0.3,0.2,210.0,3.5999999999999996,952.03
-0.3,0.3,210.0,3.9000000000000004,963.39
-0.2,-0.3,240.0,2.0999999999999996,994.29
-0.2,-0.2,240.0,2.4000000000000004,1008.2
-0.2,-0.1,240.0,2.7,1021.76
-0.2,0.0,240.0,3.0,1034.84
-0.2,0.1,240.0,3.3000000000000003,1047.17
-0.2,0.2,240.0,3.5999999999999996,1059.47
-0.2,0.3,240.0,3.9000000000000004,1071.7
-0.1,-0.3,270.0,2.0999999999999996,1097.04
-0.1,-0.2,270.0,2.4000000000000004,1111.68
-0.1,-0.1,270.0,2.7,1125.34
-0.1,0.0,270.0,3.0,1138.55
-0.1,0.1,270.0,3.3000000000000003,1151.34
-0.1,0.2,270.0,3.5999999999999996,1163.78
-0.1,0.3,270.0,3.9000000000000004,1176.07
0.0,-0.3,300.0,2.0999999999999996,1197.95
0.0,-0.2,300.0,2.4000000000000004,1213.93
0.0,-0.1,300.0,2.7,1228.3
0.0,0.0,300.0,3.0,1241.59
0.0,0.1,300.0,3.3000000000000003,1254.8
0.0,0.2,300.0,3.5999999999999996,1267.82
0.0,0.3,300.0,3.9000000000000004,1280.38
0.1,-0.3,330.0,2.0999999999999996,1297.69
0.1,-0.2,330.0,2.4000000000000004,1314.07
0.1,-0.1,330.0,2.7,1329.77
0.1,0.0,330.0,3.0,1344.48
0.1,0.1,330.0,3.3000000000000003,1357.84
0.1,0.2,330.0,3.5999999999999996,1371.05
0.1,0.3,330.0,3.9000000000000004,1384.26
0.2,-0.3,360.0,2.0999999999999996,1396.17
0.2,-0.2,360.0,2.4000000000000004,1413.74
0.2,-0.1,360.0,2.7,1430.14
0.2,0.0,360.0,3.0,1445.57
0.2,0.1,360.0,3.3000000000000003,1460.2
0.2,0.2,360.0,3.5999999999999996,1473.65
0.2,0.3,360.0,3.9000000000000004,1487.01
0.3,-0.3,390.0,2.0999999999999996,1493.14
0.3,-0.2,390.0,2.4000000000000004,1511.71
0.3,-0.1,390.0,2.7,1529.42
0.3,0.0,390.0,3.0,1545.58
0.3,0.1,390.0,3.3000000000000003,1560.99
0.3,0.2,390.0,3.5999999999999996,1575.61
0.3,0.3,390.0,3.9000000000000004,1589.04
