i,T_M,T_L,L_years,retired,EAC,param,level,c_value
1,120,720,20.0,False,25.722,c_buy,-0.3,210.0
2,120,450,7.27,True,47.759,c_buy,-0.3,210.0
3,100,240,2.88,True,102.282,c_buy,-0.3,210.0
4,120,inf,20.0,False,19.632,c_buy,-0.3,210.0
5,90,540,5.62,True,57.697,c_buy,-0.3,210.0
6,120,inf,20.0,False,19.632,c_buy,-0.3,210.0
7,120,450,8.47,True,43.664,c_buy,-0.3,210.0
8,70,inf,1.83,True,130.663,c_buy,-0.3,210.0
9,60,300,2.87,True,106.003,c_buy,-0.3,210.0
10,60,180,1.25,True,211.156,c_buy,-0.3,210.0
1,120,720,20.0,False,27.222,c_buy,-0.2,240.0
2,80,450,8.46,True,51.789,c_buy,-0.2,240.0
3,100,240,2.88,True,112.717,c_buy,-0.2,240.0
4,120,inf,20.0,False,21.132,c_buy,-0.2,240.0
5,90,540,5.62,True,63.04,c_buy,-0.2,240.0
6,120,inf,20.0,False,21.132,c_buy,-0.2,240.0
7,120,450,8.47,True,47.207,c_buy,-0.2,240.0
8,60,inf,1.87,True,146.818,c_buy,-0.2,240.0
9,60,300,2.87,True,116.448,c_buy,-0.2,240.0
10,60,180,1.25,True,235.233,c_buy,-0.2,240.0
1,120,720,20.0,False,28.722,c_buy,-0.1,270.0
2,80,450,8.46,True,55.333,c_buy,-0.1,270.0
3,80,240,2.96,True,123.015,c_buy,-0.1,270.0
4,120,inf,20.0,False,22.632,c_buy,-0.1,270.0
5,90,540,5.62,True,68.383,c_buy,-0.1,270.0
6,120,inf,20.0,False,22.632,c_buy,-0.1,270.0
7,120,450,8.47,True,50.75,c_buy,-0.1,270.0
8,60,inf,1.87,True,162.887,c_buy,-0.1,270.0
9,60,300,2.87,True,126.894,c_buy,-0.1,270.0
10,50,180,1.27,True,258.898,c_buy,-0.1,270.0
1,120,720,20.0,False,30.222,c_buy,0.0,300.0
2,80,450,8.46,True,58.877,c_buy,0.0,300.0
3,80,240,2.96,True,133.133,c_buy,0.0,300.0
4,120,inf,20.0,False,24.132,c_buy,0.0,300.0
5,90,540,5.62,True,73.726,c_buy,0.0,300.0
6,120,inf,20.0,False,24.132,c_buy,0.0,300.0
7,120,450,8.47,True,54.293,c_buy,0.0,300.0
8,60,inf,1.87,True,178.956,c_buy,0.0,300.0
9,60,300,2.87,True,137.34,c_buy,0.0,300.0
10,40,180,1.3,True,281.949,c_buy,0.0,300.0
1,120,720,20.0,False,31.722,c_buy,0.1,330.0
2,80,450,8.46,True,62.421,c_buy,0.1,330.0
3,80,240,2.96,True,143.251,c_buy,0.1,330.0
4,120,inf,20.0,False,25.632,c_buy,0.1,330.0
5,90,540,5.62,True,79.069,c_buy,0.1,330.0
6,120,inf,20.0,False,25.632,c_buy,0.1,330.0
7,120,450,8.47,True,57.835,c_buy,0.1,330.0
8,50,540,2.01,True,194.046,c_buy,0.1,330.0
9,60,300,2.87,True,147.786,c_buy,0.1,330.0
10,40,180,1.3,True,304.973,c_buy,0.1,330.0
1,120,720,20.0,False,33.222,c_buy,0.2,360.0
2,80,450,8.46,True,65.965,c_buy,0.2,360.0
3,80,240,2.96,True,153.369,c_buy,0.2,360.0
4,120,inf,20.0,False,27.132,c_buy,0.2,360.0
5,90,540,5.62,True,84.411,c_buy,0.2,360.0
6,120,inf,20.0,False,27.132,c_buy,0.2,360.0
7,120,450,8.47,True,61.378,c_buy,0.2,360.0
8,50,540,2.01,True,208.956,c_buy,0.2,360.0
9,60,300,2.87,True,158.231,c_buy,0.2,360.0
10,40,180,1.3,True,327.997,c_buy,0.2,360.0
1,120,720,20.0,False,34.722,c_buy,0.3,390.0
2,80,300,9.5,True,69.362,c_buy,0.3,390.0
3,80,240,2.96,True,163.487,c_buy,0.3,390.0
4,120,inf,20.0,False,28.632,c_buy,0.3,390.0
5,90,540,5.62,True,89.754,c_buy,0.3,390.0
6,120,inf,20.0,False,28.632,c_buy,0.3,390.0
7,120,450,8.47,True,64.921,c_buy,0.3,390.0
8,50,540,2.01,True,223.867,c_buy,0.3,390.0
9,60,300,2.87,True,168.677,c_buy,0.3,390.0
10,40,180,1.3,True,351.021,c_buy,0.3,390.0
1,120,720,20.0,False,27.482,c_m,-0.3,2.1
2,80,450,8.46,True,54.767,c_m,-0.3,2.1
